feasible,ei
0.000366178941563703,0.00177967131902079
0.000616552686900832,0.00173142224363687
0.00121232937462628,0.00162041300117721
0.00174566547770519,0.00152549038701721
0.00235149382357486,0.0014226383446001
0.00270057043642737,0.00136572283076219
0.00317733743647113,0.00129069877861099
0.0039202382954536,0.00117987676658515
0.00402018279652111,0.00116552052705288
0.00482484498177655,0.00105458111937651
0.00506885177956428,0.00102253925181373
0.00567489042098168,0.000946081490802442
0.0063887956677936,0.000861564585413532
0.00673031234776136,0.000823188759376592
0.00709790759161115,0.000783327062379158
0.00773550493398216,0.000717641365682198
0.00820093104522675,0.000672375579163997
0.00878962014336139,0.000618247189329679
0.00908746496785898,0.000592151433728816
0.00986202565394342,0.000528194622994249
0.0103462641772348,0.000490972938756329
0.0105361734577455,0.000476935352473618
0.0114465260664001,0.000413855161234267
0.0117469533593394,0.000394512691983095
0.0121516801912803,0.000369563430695052
0.0129329663036624,0.000324856404077423
0.0134084637167398,0.00029977357453248
0.0137991529058199,0.000280312058897891
0.0143925664736889,0.000252647807293727
0.014656536535942,0.000241048810018185
0.0154794910674682,0.000207537373420053
0.0159446094098967,0.000190284488134296
0.016354623255902,0.00017602990104848
0.0167581435547909,0.000162836318729376
0.0174481334309094,0.000142096183509466
0.0175606963983737,0.000138921201461528
0.018124035334331,0.000123866512851123
0.0186597933799494,0.000110781689969031
0.0193692427792121,9.51768057433355e-05
0.0196843200105941,8.88367781044508e-05
0.0201296789413318,8.0457338761164e-05
0.0207214385621482,7.03184112396116e-05
0.0212747218172299,6.17956181017121e-05
0.0218647881987272,5.36468887304409e-05
0.0220970823925454,5.06883832187555e-05
0.0228155056742253,4.23655698256198e-05
0.0233624672829174,3.6806183572935e-05
0.0239278802413028,3.17008013297482e-05
0.0242685794194695,2.89154807830982e-05
0.0245348146222532,2.68815958861524e-05
0.0252549178060144,2.19618379944109e-05
0.0257109274022514,1.9249696578072e-05
0.0264212582306936,1.55802107499881e-05
0.0269284977001371,1.33320867945486e-05
0.027012794878101,1.29860518640612e-05
0.0277555092709372,1.02477359078534e-05
0.0280834658202948,9.20243986257674e-06
0.0287170505987015,7.43453964702212e-06
0.0293287645616801,6.00753146073885e-06
0.0299762658958789,4.75573915537097e-06
0.0301457293491112,4.46724573777146e-06
0.0306319938239176,3.72026041972617e-06
0.0310231470878935,3.1989532160992e-06
0.0315402276779059,2.60611938784905e-06
0.0321975027158624,1.98984369248478e-06
0.0326925581556279,1.6122577584099e-06
0.033346703546471,1.20872645581471e-06
0.0339456635289826,9.18728893850584e-07
0.0341823926339857,8.21925056015971e-07
0.0348015850591473,6.09256595396346e-07
0.0351445305661764,5.13430642001822e-07
0.0356175297828158,4.02868199245177e-07
0.0362849757845979,2.82302199394735e-07
0.0367829302371247,2.14184883162716e-07
0.0370031237993389,1.88980564530539e-07
0.0378052990726428,1.177633066618e-07
0.038172574236989,9.39585298453949e-08
0.0389197951875394,5.82167984930493e-08
0.0391999293034896,4.83142024165772e-08
0.0395060947751626,3.92274159821682e-08
0.0403286498156376,2.18604796486943e-08
0.0408608865949791,1.46690588564979e-08
0.041136534650228,1.18503500345923e-08
0.0416022447440773,8.1728757095334e-09
0.042305457843584,4.53592008398118e-09
0.0427185006095096,3.15692716412741e-09
0.0432617035044823,1.92125071407645e-09
0.043955405558343,9.83554571121203e-10
0.0443361503812484,6.68915589585595e-10
0.0446457654067781,4.84050133309211e-10
0.0453661973924609,2.19785079025314e-10
0.0457887082913658,1.34836142251515e-10
0.0461029524999904,9.25375331917166e-11
0.0468036046279594,3.82982534574694e-11
0.0472125235262793,2.22293294882547e-11
0.0477198267671047,1.09601216990995e-11
0.048063713730895,6.64357457935694e-12
0.0488127652859548,2.08899564313469e-12
0.0492312296939781,1.05160324892495e-12
0.0495828102020314,5.75539615965681e-13
0.0504784281475004,1.10134124042816e-13
0.0507717767532449,6.03961325396085e-14
0.0512196670622798,2.48689957516035e-14
0.0516941473907791,7.105427357601e-15
0.0521607609689236,3.5527136788005e-15
0.0528753455118276,0
0.0530899705758784,0
0.0535866249203682,0
0.054186159081175,0
0.0546401506826514,0
0.0550528748530196,0
0.0556774013839895,0
0.0564897118236404,0
0.0568644662149018,0
0.0573566936990246,0
0.0578211587495171,0
0.0584470110288821,0
0.0586106997121824,0
0.0591253506169887,0
0.0598121061958373,0
0.0601050590001978,0
0.0606828711123671,0
0.0614278083331883,0
0.0619739221611526,0
0.0624424289196031,0
0.0626124522718601,0
0.0633749474912183,0
0.0638396930214949,0
0.0641931458767503,0
0.0645781593730207,0
0.0654156366336392,0
0.0659924537668703,0
0.0660187225594418,0
0.0669746249292511,0
0.0674516542882193,0
0.0677606763197109,0
0.0683253124530893,0
0.0687672201135429,0
0.069441414664383,0
0.0696329575512791,0
0.0700654560802504,0
0.070658798403223,0
0.0710811572207604,0
0.0715485767499777,0
0.0721588412082056,0
0.072950363641954,0
0.0733994410471059,0
0.0735510654770769,0
0.0743396948616719,0
0.0746372344816336,0
0.0751154685779475,0
0.075604233759339,0
0.0763888921993785,0
0.0769086452149786,0
0.0772927212866489,0
0.0776403309338493,0
0.0782987078275764,0
0.0789001680124784,1.77635683940025e-15
0.0791130632566055,3.5527136788005e-15
0.0797840701610548,7.63833440942108e-14
0.08041959196073,1.00897068477934e-12
0.0809665577575797,7.49444950542966e-12
0.0813265519876732,2.5252688828914e-11
0.0816669747756096,7.42801375963609e-11
0.0821119470506674,2.76905609553069e-10
0.0825088694251608,8.24147861067104e-10
0.0830745743543375,3.44972228560891e-09
